index,wiki_name,wiki_artist,year,sp_id,sp_name,sp_artist,duration,audio_features,flag
3126,"""stand""",r.e.m.,1989,22UhQSbYimuCnvI0Y07gFX,stand - remastered,r.e.m.,192960,"{'danceability': 0.653, 'energy': 0.738, 'key': 4, 'loudness': -10.057, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.397, 'instrumentalness': 0, 'liveness': 0.0931, 'valence': 0.932, 'tempo': 109.322}",0
3127,"""close my eyes forever""",lita ford and ozzy osbourne,1989,6JYU4r8D2EwW4eP7ZeUGPa,close my eyes forever,lita ford,282466,"{'danceability': 0.451, 'energy': 0.333, 'key': 5, 'loudness': -14.383, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.304, 'instrumentalness': 4.37e-06, 'liveness': 0.116, 'valence': 0.221, 'tempo': 130.521}",0
3128,"""all this time""",tiffany,1989,5jzDnEoTtwzvJfvVx52rDC,all this time,tiffany,261906,"{'danceability': 0.476, 'energy': 0.495, 'key': 1, 'loudness': -9.949, 'mode': 1, 'speechiness': 0.0301, 'acousticness': 0.161, 'instrumentalness': 1.97e-06, 'liveness': 0.355, 'valence': 0.446, 'tempo': 180.191}",0
3129,"""after all""",cher and peter cetera,1989,6IBcOGPsniK3Pso1wHIhew,forever after all,luke combs,232533,"{'danceability': 0.487, 'energy': 0.65, 'key': 0, 'loudness': -5.195, 'mode': 1, 'speechiness': 0.0253, 'acousticness': 0.191, 'instrumentalness': 0, 'liveness': 0.0933, 'valence': 0.456, 'tempo': 151.964}",1
3130,"""roni""",bobby brown,1989,6mdNRnbiVerwM8kGCS1KwD,roni,bobby brown,358333,"{'danceability': 0.717, 'energy': 0.696, 'key': 9, 'loudness': -11.94, 'mode': 1, 'speechiness': 0.0373, 'acousticness': 0.0115, 'instrumentalness': 6.11e-05, 'liveness': 0.0494, 'valence': 0.904, 'tempo': 146.658}",0
3131,"""love in an elevator""",aerosmith,1989,1l6DV8qhmCdgOKLSAFzPOe,love in an elevator - single version,aerosmith,321826,"{'danceability': 0.449, 'energy': 0.961, 'key': 4, 'loudness': -4.305, 'mode': 1, 'speechiness': 0.0701, 'acousticness': 0.00854, 'instrumentalness': 0.00276, 'liveness': 0.343, 'valence': 0.602, 'tempo': 93.956}",0
3132,"""lay your hands on me""",bon jovi,1989,7yJYnyb2Hx4G1i12DVpead,lay your hands on me,bon jovi,229293,"{'danceability': 0.332, 'energy': 0.967, 'key': 2, 'loudness': -3.859, 'mode': 1, 'speechiness': 0.0679, 'acousticness': 0.177, 'instrumentalness': 0, 'liveness': 0.308, 'valence': 0.389, 'tempo': 100.497}",0
3133,"""the promise""",when in rome,1989,48p5E25cFPanxuwCTmTpuL,the promise,when in rome,220960,"{'danceability': 0.629, 'energy': 0.876, 'key': 0, 'loudness': -10.141, 'mode': 1, 'speechiness': 0.0444, 'acousticness': 0.0864, 'instrumentalness': 7.72e-05, 'liveness': 0.0431, 'valence': 0.358, 'tempo': 118.01}",0
3134,"""what i am""",edie brickell & new bohemians,1989,6hHUiDe461VUoTHnsplRYs,what i am,edie brickell & new bohemians,296360,"{'danceability': 0.619, 'energy': 0.677, 'key': 11, 'loudness': -11.728, 'mode': 0, 'speechiness': 0.0746, 'acousticness': 0.624, 'instrumentalness': 6.46e-05, 'liveness': 0.0589, 'valence': 0.571, 'tempo': 177.873}",0
3135,"""i remember holding you""",boys club,1989,1vg9QIylIW01JyfvDtfd4H,i remember holding you,boys club band,293079,"{'danceability': 0.609, 'energy': 0.843, 'key': 2, 'loudness': -7.973, 'mode': 0, 'speechiness': 0.0447, 'acousticness': 0.307, 'instrumentalness': 0.000598, 'liveness': 0.0517, 'valence': 0.762, 'tempo': 92.48}",0
3136,"""paradise city""",guns n' roses,1989,6eN1f9KNmiWEhpE2RhQqB5,paradise city,guns n roses,405600,"{'danceability': 0.268, 'energy': 0.98, 'key': 11, 'loudness': -5.958, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.0192, 'instrumentalness': 0.00709, 'liveness': 0.182, 'valence': 0.395, 'tempo': 100.315}",0
3137,"""i wanna have some fun""",samantha fox,1989,2MLtib2ulZ6eeu4zTToYr7,i wanna have some fun,samantha fox,235933,"{'danceability': 0.824, 'energy': 0.58, 'key': 6, 'loudness': -12.356, 'mode': 1, 'speechiness': 0.0653, 'acousticness': 0.00742, 'instrumentalness': 0.00246, 'liveness': 0.11, 'valence': 0.851, 'tempo': 122.874}",0
3138,"""she wants to dance with me""",rick astley,1989,40GPRs5W6SAXCcyLNPw7O1,she wants to dance with me,rick astley,196440,"{'danceability': 0.654, 'energy': 0.83, 'key': 6, 'loudness': -12.099, 'mode': 1, 'speechiness': 0.0513, 'acousticness': 0.0864, 'instrumentalness': 5.19e-05, 'liveness': 0.268, 'valence': 0.938, 'tempo': 118.031}",0
3139,"""dreamin""",vanessa williams,1989,3jQCcmUSBL21Z8Csp96Y9Q,dreamin,vanessa williams,326506,"{'danceability': 0.523, 'energy': 0.397, 'key': 1, 'loudness': -16.407, 'mode': 0, 'speechiness': 0.0405, 'acousticness': 0.144, 'instrumentalness': 0, 'liveness': 0.283, 'valence': 0.453, 'tempo': 167.931}",0
3140,"""its no crime""",babyface,1989,2zFqQ0xLiMHOVUuV5zw9Gq,its no crime,babyface,241493,"{'danceability': 0.802, 'energy': 0.802, 'key': 2, 'loudness': -6.709, 'mode': 1, 'speechiness': 0.0513, 'acousticness': 0.0608, 'instrumentalness': 0.000252, 'liveness': 0.0727, 'valence': 0.912, 'tempo': 116.316}",0
